car_id,buying,maint,doors,persons,lug_boot,safety,car_class
1,vhigh,vhigh,2,2,small,low,unacc
3,vhigh,vhigh,2,2,small,high,unacc
4,vhigh,vhigh,2,2,med,low,unacc
5,vhigh,vhigh,2,2,med,med,unacc
7,vhigh,vhigh,2,2,big,low,unacc
11,vhigh,vhigh,2,4,small,med,unacc
12,vhigh,vhigh,2,4,small,high,unacc
14,vhigh,vhigh,2,4,med,med,unacc
15,vhigh,vhigh,2,4,med,high,unacc
16,vhigh,vhigh,2,4,big,low,unacc
17,vhigh,vhigh,2,4,big,med,unacc
19,vhigh,vhigh,2,more,small,low,unacc
20,vhigh,vhigh,2,more,small,med,unacc
21,vhigh,vhigh,2,more,small,high,unacc
22,vhigh,vhigh,2,more,med,low,unacc
23,vhigh,vhigh,2,more,med,med,unacc
25,vhigh,vhigh,2,more,big,low,unacc
31,vhigh,vhigh,3,2,med,low,unacc
34,vhigh,vhigh,3,2,big,low,unacc
38,vhigh,vhigh,3,4,small,med,unacc
41,vhigh,vhigh,3,4,med,med,unacc
42,vhigh,vhigh,3,4,med,high,unacc
43,vhigh,vhigh,3,4,big,low,unacc
44,vhigh,vhigh,3,4,big,med,unacc
45,vhigh,vhigh,3,4,big,high,unacc
47,vhigh,vhigh,3,more,small,med,unacc
53,vhigh,vhigh,3,more,big,med,unacc
54,vhigh,vhigh,3,more,big,high,unacc
56,vhigh,vhigh,4,2,small,med,unacc
57,vhigh,vhigh,4,2,small,high,unacc
58,vhigh,vhigh,4,2,med,low,unacc
59,vhigh,vhigh,4,2,med,med,unacc
61,vhigh,vhigh,4,2,big,low,unacc
63,vhigh,vhigh,4,2,big,high,unacc
64,vhigh,vhigh,4,4,small,low,unacc
66,vhigh,vhigh,4,4,small,high,unacc
67,vhigh,vhigh,4,4,med,low,unacc
68,vhigh,vhigh,4,4,med,med,unacc
69,vhigh,vhigh,4,4,med,high,unacc
72,vhigh,vhigh,4,4,big,high,unacc
73,vhigh,vhigh,4,more,small,low,unacc
74,vhigh,vhigh,4,more,small,med,unacc
76,vhigh,vhigh,4,more,med,low,unacc
77,vhigh,vhigh,4,more,med,med,unacc
80,vhigh,vhigh,4,more,big,med,unacc
81,vhigh,vhigh,4,more,big,high,unacc
85,vhigh,vhigh,5more,2,med,low,unacc
86,vhigh,vhigh,5more,2,med,med,unacc
88,vhigh,vhigh,5more,2,big,low,unacc
93,vhigh,vhigh,5more,4,small,high,unacc
95,vhigh,vhigh,5more,4,med,med,unacc
96,vhigh,vhigh,5more,4,med,high,unacc
97,vhigh,vhigh,5more,4,big,low,unacc
102,vhigh,vhigh,5more,more,small,high,unacc
104,vhigh,vhigh,5more,more,med,med,unacc
106,vhigh,vhigh,5more,more,big,low,unacc
108,vhigh,vhigh,5more,more,big,high,unacc
109,vhigh,high,2,2,small,low,unacc
110,vhigh,high,2,2,small,med,unacc
111,vhigh,high,2,2,small,high,unacc
113,vhigh,high,2,2,med,med,unacc
114,vhigh,high,2,2,med,high,unacc
115,vhigh,high,2,2,big,low,unacc
116,vhigh,high,2,2,big,med,unacc
117,vhigh,high,2,2,big,high,unacc
118,vhigh,high,2,4,small,low,unacc
119,vhigh,high,2,4,small,med,unacc
121,vhigh,high,2,4,med,low,unacc
123,vhigh,high,2,4,med,high,unacc
125,vhigh,high,2,4,big,med,unacc
127,vhigh,high,2,more,small,low,unacc
129,vhigh,high,2,more,small,high,unacc
130,vhigh,high,2,more,med,low,unacc
131,vhigh,high,2,more,med,med,unacc
132,vhigh,high,2,more,med,high,unacc
134,vhigh,high,2,more,big,med,unacc
136,vhigh,high,3,2,small,low,unacc
137,vhigh,high,3,2,small,med,unacc
138,vhigh,high,3,2,small,high,unacc
139,vhigh,high,3,2,med,low,unacc
143,vhigh,high,3,2,big,med,unacc
144,vhigh,high,3,2,big,high,unacc
146,vhigh,high,3,4,small,med,unacc
147,vhigh,high,3,4,small,high,unacc
148,vhigh,high,3,4,med,low,unacc
152,vhigh,high,3,4,big,med,unacc
157,vhigh,high,3,more,med,low,unacc
159,vhigh,high,3,more,med,high,unacc
160,vhigh,high,3,more,big,low,unacc
162,vhigh,high,3,more,big,high,unacc
163,vhigh,high,4,2,small,low,unacc
165,vhigh,high,4,2,small,high,unacc
166,vhigh,high,4,2,med,low,unacc
167,vhigh,high,4,2,med,med,unacc
168,vhigh,high,4,2,med,high,unacc
170,vhigh,high,4,2,big,med,unacc
171,vhigh,high,4,2,big,high,unacc
172,vhigh,high,4,4,small,low,unacc
173,vhigh,high,4,4,small,med,unacc
175,vhigh,high,4,4,med,low,unacc
176,vhigh,high,4,4,med,med,unacc
177,vhigh,high,4,4,med,high,unacc
178,vhigh,high,4,4,big,low,unacc
180,vhigh,high,4,4,big,high,unacc
184,vhigh,high,4,more,med,low,unacc
185,vhigh,high,4,more,med,med,unacc
186,vhigh,high,4,more,med,high,unacc
190,vhigh,high,5more,2,small,low,unacc
193,vhigh,high,5more,2,med,low,unacc
196,vhigh,high,5more,2,big,low,unacc
198,vhigh,high,5more,2,big,high,unacc
199,vhigh,high,5more,4,small,low,unacc
201,vhigh,high,5more,4,small,high,unacc
203,vhigh,high,5more,4,med,med,unacc
205,vhigh,high,5more,4,big,low,unacc
206,vhigh,high,5more,4,big,med,unacc
208,vhigh,high,5more,more,small,low,unacc
211,vhigh,high,5more,more,med,low,unacc
212,vhigh,high,5more,more,med,med,unacc
214,vhigh,high,5more,more,big,low,unacc
216,vhigh,high,5more,more,big,high,unacc
218,vhigh,med,2,2,small,med,unacc
219,vhigh,med,2,2,small,high,unacc
220,vhigh,med,2,2,med,low,unacc
223,vhigh,med,2,2,big,low,unacc
226,vhigh,med,2,4,small,low,unacc
229,vhigh,med,2,4,med,low,unacc
230,vhigh,med,2,4,med,med,unacc
231,vhigh,med,2,4,med,high,acc
237,vhigh,med,2,more,small,high,unacc
240,vhigh,med,2,more,med,high,acc
242,vhigh,med,2,more,big,med,acc
243,vhigh,med,2,more,big,high,acc
247,vhigh,med,3,2,med,low,unacc
248,vhigh,med,3,2,med,med,unacc
249,vhigh,med,3,2,med,high,unacc
250,vhigh,med,3,2,big,low,unacc
251,vhigh,med,3,2,big,med,unacc
254,vhigh,med,3,4,small,med,unacc
258,vhigh,med,3,4,med,high,acc
259,vhigh,med,3,4,big,low,unacc
260,vhigh,med,3,4,big,med,acc
261,vhigh,med,3,4,big,high,acc
263,vhigh,med,3,more,small,med,unacc
264,vhigh,med,3,more,small,high,acc
265,vhigh,med,3,more,med,low,unacc
267,vhigh,med,3,more,med,high,acc
268,vhigh,med,3,more,big,low,unacc
269,vhigh,med,3,more,big,med,acc
271,vhigh,med,4,2,small,low,unacc
272,vhigh,med,4,2,small,med,unacc
276,vhigh,med,4,2,med,high,unacc
277,vhigh,med,4,2,big,low,unacc
278,vhigh,med,4,2,big,med,unacc
281,vhigh,med,4,4,small,med,unacc
282,vhigh,med,4,4,small,high,acc
283,vhigh,med,4,4,med,low,unacc
284,vhigh,med,4,4,med,med,acc
285,vhigh,med,4,4,med,high,acc
286,vhigh,med,4,4,big,low,unacc
287,vhigh,med,4,4,big,med,acc
288,vhigh,med,4,4,big,high,acc
290,vhigh,med,4,more,small,med,unacc
291,vhigh,med,4,more,small,high,acc
292,vhigh,med,4,more,med,low,unacc
293,vhigh,med,4,more,med,med,acc
294,vhigh,med,4,more,med,high,acc
295,vhigh,med,4,more,big,low,unacc
297,vhigh,med,4,more,big,high,acc
300,vhigh,med,5more,2,small,high,unacc
301,vhigh,med,5more,2,med,low,unacc
302,vhigh,med,5more,2,med,med,unacc
304,vhigh,med,5more,2,big,low,unacc
307,vhigh,med,5more,4,small,low,unacc
309,vhigh,med,5more,4,small,high,acc
310,vhigh,med,5more,4,med,low,unacc
311,vhigh,med,5more,4,med,med,acc
314,vhigh,med,5more,4,big,med,acc
315,vhigh,med,5more,4,big,high,acc
317,vhigh,med,5more,more,small,med,unacc
318,vhigh,med,5more,more,small,high,acc
321,vhigh,med,5more,more,med,high,acc
325,vhigh,low,2,2,small,low,unacc
328,vhigh,low,2,2,med,low,unacc
331,vhigh,low,2,2,big,low,unacc
332,vhigh,low,2,2,big,med,unacc
333,vhigh,low,2,2,big,high,unacc
338,vhigh,low,2,4,med,med,unacc
340,vhigh,low,2,4,big,low,unacc
342,vhigh,low,2,4,big,high,acc
343,vhigh,low,2,more,small,low,unacc
344,vhigh,low,2,more,small,med,unacc
346,vhigh,low,2,more,med,low,unacc
347,vhigh,low,2,more,med,med,unacc
348,vhigh,low,2,more,med,high,acc
350,vhigh,low,2,more,big,med,acc
353,vhigh,low,3,2,small,med,unacc
354,vhigh,low,3,2,small,high,unacc
357,vhigh,low,3,2,med,high,unacc
358,vhigh,low,3,2,big,low,unacc
359,vhigh,low,3,2,big,med,unacc
362,vhigh,low,3,4,small,med,unacc
363,vhigh,low,3,4,small,high,acc
364,vhigh,low,3,4,med,low,unacc
365,vhigh,low,3,4,med,med,unacc
368,vhigh,low,3,4,big,med,acc
369,vhigh,low,3,4,big,high,acc
373,vhigh,low,3,more,med,low,unacc
374,vhigh,low,3,more,med,med,acc
375,vhigh,low,3,more,med,high,acc
376,vhigh,low,3,more,big,low,unacc
377,vhigh,low,3,more,big,med,acc
380,vhigh,low,4,2,small,med,unacc
382,vhigh,low,4,2,med,low,unacc
383,vhigh,low,4,2,med,med,unacc
385,vhigh,low,4,2,big,low,unacc
386,vhigh,low,4,2,big,med,unacc
389,vhigh,low,4,4,small,med,unacc
391,vhigh,low,4,4,med,low,unacc
392,vhigh,low,4,4,med,med,acc
394,vhigh,low,4,4,big,low,unacc
396,vhigh,low,4,4,big,high,acc
397,vhigh,low,4,more,small,low,unacc
398,vhigh,low,4,more,small,med,unacc
399,vhigh,low,4,more,small,high,acc
402,vhigh,low,4,more,med,high,acc
405,vhigh,low,4,more,big,high,acc
409,vhigh,low,5more,2,med,low,unacc
411,vhigh,low,5more,2,med,high,unacc
412,vhigh,low,5more,2,big,low,unacc
414,vhigh,low,5more,2,big,high,unacc
415,vhigh,low,5more,4,small,low,unacc
417,vhigh,low,5more,4,small,high,acc
419,vhigh,low,5more,4,med,med,acc
422,vhigh,low,5more,4,big,med,acc
424,vhigh,low,5more,more,small,low,unacc
426,vhigh,low,5more,more,small,high,acc
427,vhigh,low,5more,more,med,low,unacc
428,vhigh,low,5more,more,med,med,acc
431,vhigh,low,5more,more,big,med,acc
432,vhigh,low,5more,more,big,high,acc
434,high,vhigh,2,2,small,med,unacc
435,high,vhigh,2,2,small,high,unacc
439,high,vhigh,2,2,big,low,unacc
440,high,vhigh,2,2,big,med,unacc
442,high,vhigh,2,4,small,low,unacc
445,high,vhigh,2,4,med,low,unacc
446,high,vhigh,2,4,med,med,unacc
449,high,vhigh,2,4,big,med,unacc
450,high,vhigh,2,4,big,high,unacc
451,high,vhigh,2,more,small,low,unacc
452,high,vhigh,2,more,small,med,unacc
455,high,vhigh,2,more,med,med,unacc
456,high,vhigh,2,more,med,high,unacc
457,high,vhigh,2,more,big,low,unacc
459,high,vhigh,2,more,big,high,unacc
460,high,vhigh,3,2,small,low,unacc
461,high,vhigh,3,2,small,med,unacc
462,high,vhigh,3,2,small,high,unacc
463,high,vhigh,3,2,med,low,unacc
464,high,vhigh,3,2,med,med,unacc
465,high,vhigh,3,2,med,high,unacc
473,high,vhigh,3,4,med,med,unacc
474,high,vhigh,3,4,med,high,unacc
478,high,vhigh,3,more,small,low,unacc
481,high,vhigh,3,more,med,low,unacc
482,high,vhigh,3,more,med,med,unacc
483,high,vhigh,3,more,med,high,unacc
485,high,vhigh,3,more,big,med,unacc
487,high,vhigh,4,2,small,low,unacc
490,high,vhigh,4,2,med,low,unacc
494,high,vhigh,4,2,big,med,unacc
496,high,vhigh,4,4,small,low,unacc
497,high,vhigh,4,4,small,med,unacc
498,high,vhigh,4,4,small,high,unacc
500,high,vhigh,4,4,med,med,unacc
502,high,vhigh,4,4,big,low,unacc
503,high,vhigh,4,4,big,med,unacc
504,high,vhigh,4,4,big,high,unacc
505,high,vhigh,4,more,small,low,unacc
507,high,vhigh,4,more,small,high,unacc
508,high,vhigh,4,more,med,low,unacc
509,high,vhigh,4,more,med,med,unacc
514,high,vhigh,5more,2,small,low,unacc
516,high,vhigh,5more,2,small,high,unacc
519,high,vhigh,5more,2,med,high,unacc
521,high,vhigh,5more,2,big,med,unacc
522,high,vhigh,5more,2,big,high,unacc
523,high,vhigh,5more,4,small,low,unacc
525,high,vhigh,5more,4,small,high,unacc
527,high,vhigh,5more,4,med,med,unacc
529,high,vhigh,5more,4,big,low,unacc
530,high,vhigh,5more,4,big,med,unacc
531,high,vhigh,5more,4,big,high,unacc
532,high,vhigh,5more,more,small,low,unacc
534,high,vhigh,5more,more,small,high,unacc
538,high,vhigh,5more,more,big,low,unacc
542,high,high,2,2,small,med,unacc
545,high,high,2,2,med,med,unacc
546,high,high,2,2,med,high,unacc
547,high,high,2,2,big,low,unacc
548,high,high,2,2,big,med,unacc
551,high,high,2,4,small,med,unacc
553,high,high,2,4,med,low,unacc
554,high,high,2,4,med,med,unacc
555,high,high,2,4,med,high,acc
556,high,high,2,4,big,low,unacc
557,high,high,2,4,big,med,acc
558,high,high,2,4,big,high,acc
563,high,high,2,more,med,med,unacc
564,high,high,2,more,med,high,acc
566,high,high,2,more,big,med,acc
567,high,high,2,more,big,high,acc
568,high,high,3,2,small,low,unacc
575,high,high,3,2,big,med,unacc
576,high,high,3,2,big,high,unacc
577,high,high,3,4,small,low,unacc
579,high,high,3,4,small,high,acc
581,high,high,3,4,med,med,unacc
582,high,high,3,4,med,high,acc
583,high,high,3,4,big,low,unacc
586,high,high,3,more,small,low,unacc
587,high,high,3,more,small,med,unacc
588,high,high,3,more,small,high,acc
590,high,high,3,more,med,med,acc
591,high,high,3,more,med,high,acc
597,high,high,4,2,small,high,unacc
598,high,high,4,2,med,low,unacc
600,high,high,4,2,med,high,unacc
601,high,high,4,2,big,low,unacc
602,high,high,4,2,big,med,unacc
604,high,high,4,4,small,low,unacc
605,high,high,4,4,small,med,unacc
607,high,high,4,4,med,low,unacc
609,high,high,4,4,med,high,acc
610,high,high,4,4,big,low,unacc
612,high,high,4,4,big,high,acc
613,high,high,4,more,small,low,unacc
617,high,high,4,more,med,med,acc
618,high,high,4,more,med,high,acc
621,high,high,4,more,big,high,acc
625,high,high,5more,2,med,low,unacc
626,high,high,5more,2,med,med,unacc
629,high,high,5more,2,big,med,unacc
630,high,high,5more,2,big,high,unacc
633,high,high,5more,4,small,high,acc
635,high,high,5more,4,med,med,acc
638,high,high,5more,4,big,med,acc
643,high,high,5more,more,med,low,unacc
645,high,high,5more,more,med,high,acc
649,high,med,2,2,small,low,unacc
651,high,med,2,2,small,high,unacc
653,high,med,2,2,med,med,unacc
654,high,med,2,2,med,high,unacc
655,high,med,2,2,big,low,unacc
656,high,med,2,2,big,med,unacc
657,high,med,2,2,big,high,unacc
664,high,med,2,4,big,low,unacc
665,high,med,2,4,big,med,acc
668,high,med,2,more,small,med,unacc
669,high,med,2,more,small,high,unacc
672,high,med,2,more,med,high,acc
674,high,med,2,more,big,med,acc
676,high,med,3,2,small,low,unacc
677,high,med,3,2,small,med,unacc
680,high,med,3,2,med,med,unacc
681,high,med,3,2,med,high,unacc
682,high,med,3,2,big,low,unacc
683,high,med,3,2,big,med,unacc
684,high,med,3,2,big,high,unacc
686,high,med,3,4,small,med,unacc
687,high,med,3,4,small,high,acc
688,high,med,3,4,med,low,unacc
691,high,med,3,4,big,low,unacc
693,high,med,3,4,big,high,acc
695,high,med,3,more,small,med,unacc
696,high,med,3,more,small,high,acc
697,high,med,3,more,med,low,unacc
699,high,med,3,more,med,high,acc
701,high,med,3,more,big,med,acc
703,high,med,4,2,small,low,unacc
708,high,med,4,2,med,high,unacc
709,high,med,4,2,big,low,unacc
710,high,med,4,2,big,med,unacc
711,high,med,4,2,big,high,unacc
712,high,med,4,4,small,low,unacc
713,high,med,4,4,small,med,unacc
714,high,med,4,4,small,high,acc
715,high,med,4,4,med,low,unacc
716,high,med,4,4,med,med,acc
718,high,med,4,4,big,low,unacc
720,high,med,4,4,big,high,acc
722,high,med,4,more,small,med,unacc
726,high,med,4,more,med,high,acc
727,high,med,4,more,big,low,unacc
728,high,med,4,more,big,med,acc
729,high,med,4,more,big,high,acc
734,high,med,5more,2,med,med,unacc
736,high,med,5more,2,big,low,unacc
738,high,med,5more,2,big,high,unacc
741,high,med,5more,4,small,high,acc
742,high,med,5more,4,med,low,unacc
743,high,med,5more,4,med,med,acc
744,high,med,5more,4,med,high,acc
749,high,med,5more,more,small,med,unacc
750,high,med,5more,more,small,high,acc
752,high,med,5more,more,med,med,acc
753,high,med,5more,more,med,high,acc
754,high,med,5more,more,big,low,unacc
755,high,med,5more,more,big,med,acc
756,high,med,5more,more,big,high,acc
758,high,low,2,2,small,med,unacc
759,high,low,2,2,small,high,unacc
761,high,low,2,2,med,med,unacc
762,high,low,2,2,med,high,unacc
764,high,low,2,2,big,med,unacc
765,high,low,2,2,big,high,unacc
767,high,low,2,4,small,med,unacc
770,high,low,2,4,med,med,unacc
774,high,low,2,4,big,high,acc
775,high,low,2,more,small,low,unacc
777,high,low,2,more,small,high,unacc
778,high,low,2,more,med,low,unacc
779,high,low,2,more,med,med,unacc
780,high,low,2,more,med,high,acc
781,high,low,2,more,big,low,unacc
782,high,low,2,more,big,med,acc
785,high,low,3,2,small,med,unacc
786,high,low,3,2,small,high,unacc
788,high,low,3,2,med,med,unacc
789,high,low,3,2,med,high,unacc
791,high,low,3,2,big,med,unacc
792,high,low,3,2,big,high,unacc
793,high,low,3,4,small,low,unacc
794,high,low,3,4,small,med,unacc
795,high,low,3,4,small,high,acc
797,high,low,3,4,med,med,unacc
798,high,low,3,4,med,high,acc
801,high,low,3,4,big,high,acc
802,high,low,3,more,small,low,unacc
803,high,low,3,more,small,med,unacc
805,high,low,3,more,med,low,unacc
806,high,low,3,more,med,med,acc
809,high,low,3,more,big,med,acc
812,high,low,4,2,small,med,unacc
813,high,low,4,2,small,high,unacc
816,high,low,4,2,med,high,unacc
817,high,low,4,2,big,low,unacc
818,high,low,4,2,big,med,unacc
819,high,low,4,2,big,high,unacc
820,high,low,4,4,small,low,unacc
821,high,low,4,4,small,med,unacc
824,high,low,4,4,med,med,acc
827,high,low,4,4,big,med,acc
828,high,low,4,4,big,high,acc
830,high,low,4,more,small,med,unacc
831,high,low,4,more,small,high,acc
833,high,low,4,more,med,med,acc
834,high,low,4,more,med,high,acc
835,high,low,4,more,big,low,unacc
837,high,low,4,more,big,high,acc
838,high,low,5more,2,small,low,unacc
842,high,low,5more,2,med,med,unacc
843,high,low,5more,2,med,high,unacc
844,high,low,5more,2,big,low,unacc
845,high,low,5more,2,big,med,unacc
846,high,low,5more,2,big,high,unacc
847,high,low,5more,4,small,low,unacc
851,high,low,5more,4,med,med,acc
853,high,low,5more,4,big,low,unacc
854,high,low,5more,4,big,med,acc
856,high,low,5more,more,small,low,unacc
857,high,low,5more,more,small,med,unacc
858,high,low,5more,more,small,high,acc
859,high,low,5more,more,med,low,unacc
860,high,low,5more,more,med,med,acc
862,high,low,5more,more,big,low,unacc
863,high,low,5more,more,big,med,acc
864,high,low,5more,more,big,high,acc
866,med,vhigh,2,2,small,med,unacc
867,med,vhigh,2,2,small,high,unacc
